Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300",9998887132,60.009,0.000115179
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100",9999353795,0.0509999,6.59681e-05
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200",10000015239,0.013,9.09972e-07
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300",9999140095,0.00999999,8.98855e-05
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100",5001005151,0.00500011,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200",5001009773,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300",5001015101,0.00399995,1.99959e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100",5010005187,0.00300002,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200",5010010051,0.00300002,1.996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300",5010015078,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100",5100005642,0.00300002,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200",5100009272,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300",5100016344,0.0059998,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100",6000005400,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200",6000010201,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300",6000015203,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100",10000003787,0.0120001,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200",10000005852,0.00900006,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300",10000011167,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100",5000105221,0.00399995,1.99996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200",5000110446,0.00399995,1.99996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300",5000115883,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100",5001009672,0.0059998,0
