Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100",5100005642,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200",5100009272,0.0059998,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300",5100016344,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100",6000005400,0.00400019,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200",6000010201,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300",6000015203,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100",10000003787,0.013,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200",10000005852,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300",10000011167,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100",5000105221,0.00399995,1.99996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200",5000110446,0.00400019,1.99996e-10
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300",5000115883,0.00400019,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100",5001009672,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200",5001021091,0.00499988,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300",5001030042,0.00499988,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100",5010009252,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200",5010020266,0.00500011,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300",5010030307,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100",5100010075,0.00299978,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200",5100020242,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300",5100031650,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100",6000010230,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200",6000019896,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300",6000030672,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100",10000006818,0.0180001,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200",10000014402,0.0120001,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300",10000020319,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100",5000110229,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200",5000119902,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300",5000130097,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100",5001016164,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200",5001030419,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300",5001044129,0.00800014,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100",5010014765,0.00500011,3.992e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200",5010031039,0.00699997,1.996e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300",5010044848,0.00399995,1.99599e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100",5100015013,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200",5100031464,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300",5100047423,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100",6000016394,0.00500011,6.66665e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200",6000030837,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300",6000043420,0.00500011,8.33327e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100",10000009875,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200",10000020348,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300",10000029315,0.0120001,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100",5000116037,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200",5000130086,0.0059998,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300",5000144494,0.00600004,1.99994e-10
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100",9718508231,60.005,0.0289646
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200",9718515863,60.005,0.0289643
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300",9718524047,60.005,0.028964
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100",9997508252,60.006,0.000249583
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200",9997516365,61.06,0.000249197
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300",9997523981,60.006,0.00024843
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100",9975005320,60.007,0.00250607
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200",9962510823,60.182,0.0037636
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300",9975016220,60.002,0.00250557
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100",10000003776,0.849,2.36533e-08
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200",10000007191,2.14,3.154e-08
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300",10000011432,0.872,1.2096e-07
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100",10000006084,0.0139999,0
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200",10000011468,0.00999999,0
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300",10000015702,0.0079999,0
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100",9690607364,60.009,0.0319271
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200",9690615618,60.006,0.0319269
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300",9690622638,60.005,0.0319263
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100",9718512112,60.006,0.0289646
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200",9718525631,65.711,0.0289638
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_300",9718536488,60.007,0.028963
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_100",9997512594,60.005,0.00024929
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_200",9997523272,60.007,0.000248615
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_300",9997537104,62.695,0.000247883
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_100",9975011186,60.005,0.00250562
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_200",9975020720,60.004,0.00250519
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_300",9975033340,62.472,0.0025045
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100",10000006514,2.189,3.35047e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_200",10000013291,1.508,3.67523e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_300",10000021026,2.697,6.85046e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_100",10000009213,0.0239999,0
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200",9687527045,60.004,0.0322563
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_300",9687537819,60.004,0.0322554
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_100",9690612957,60.002,0.0319267
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_200",9690625190,60.006,0.031926
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_300",9690636536,60.485,0.0319255
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_100",9718517409,60.004,0.0289641
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_200",9718536680,60.009,0.0289627
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_300",9718554969,60.006,0.0289615
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100",9997517035,60.218,0.000248989
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_200",9997534981,60.006,0.000247918
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_300",9997554178,60.006,0.000246599
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_100",9975015145,61.471,0.00250538
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_200",9975032790,61.677,0.00250439
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_300",9975049752,60.005,0.00250335
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_100",10000009269,1.861,2.20762e-08
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_200",10000020751,1.549,5.21399e-08
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300",10000031265,3.148,1.13971e-07
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_100",10000013146,0.0350001,3.00007e-10
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_200",10000025752,42.863,1.117e-07
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_300",9687550289,60.006,0.0322546
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_100",9690618027,60.009,0.0319266
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_200",9690635847,60.006,0.0319253
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_300",9690652286,60.007,0.0319244
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_100",100006603,0.156,2.06844e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_200",100011846,0.251,5.34688e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_300",100020125,0.115,2.67246e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_100",99999411,0.328,8.87848e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200",100009084,2.111,6.16435e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_300",100020221,3.117,2.15902e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_100",100000763,3.094,4.78124e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_200",100004881,0.135,6.09933e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_300",100007739,0.0190001,7.6571e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_100",99966701,60.007,0.00035637
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_200",99973164,60.005,0.000319098
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_300",99979448,60.044,0.000277918
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_100",99825185,60.013,0.00183434
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_200",99842147,60.006,0.00173406
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_300",99861760,60.006,0.00161713
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_100",99997651,2.108,9.72594e-05
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_200",100004785,4.381,9.90844e-05
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_300",100015273,0.236,9.37909e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100",100000665,0.114,8.34126e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200",100016755,0.116,1.87359e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_300",100019346,0.258,7.13785e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_100",100007318,0.0190001,1.45266e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_200",100016258,0.132,1.86544e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_300",100024071,3.77,3.94329e-05
