Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300",99999815
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100",99911403
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200",99926445
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300",99942700
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100",99933775
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200",99949867
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300",99967908
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100",99953962
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200",99943297
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300",99935554
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100",99978208
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200",99986879
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300",99995902
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_100",99832162
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_200",99859713
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_300",99887624
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100",99953108
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200",99968050
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300",99950109
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100",99993582
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200",99999653
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300",100000288
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100",99924415
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200",99929674
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300",99935031
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100",99918047
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200",100013617
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300",100007856
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_100",99991366
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_200",99985491
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_300",99979790
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_100",99993566
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_200",99999344
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_300",99998639
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_100",99993403
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_200",99999186
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_300",100000969
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_100",99998732
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_200",100001162
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_300",100000900
"n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_100",99929887
"n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_200",99940936
