Name,Best known Obj,Obj Fn,Runtime,MIPGAP
86_500_15_7,-51633.0135503283,-51633.0135503283,3.07499980926514,8.23647748501447e-05
87_500_15_15,-17531.3218649333,-17531.3218649333,6.68599987030029,0
88_500_30_1,-13070.7557229749,-13070.7557229749,0.430000066757202,0
89_500_30_15,-79466.6705403298,-79466.6705403298,1.11899995803833,9.83850071125313e-05
90_500_30_30,-39124.1204237121,-39124.1204237121,8.14300012588501,9.18014917480306e-05
91_100_5_1,-4773.8985621525,-4773.8985621525,0.20799994468689,0
92_100_5_2,-2548.64973003511,-2548.64973003511,0.0829999446868896,0
93_100_5_5,-4205.85852850683,-4205.85852850683,0.773000001907349,0
94_100_15_1,-4228.21988851331,-4228.21988851331,0.0749998092651367,0
95_100_15_7,-10690.6334137173,-10690.6334137173,9.57599997520447,0
96_100_15_15,-12776.1478451867,-12776.1478451867,0.220000028610229,0
97_100_30_1,-1619.64055734164,-1619.64055734164,0.143999814987183,0
98_100_30_15,-14210.1079343494,-14210.1079343494,18.0050001144409,0
99_100_30_30,-5190.80369750521,-5190.80369750521,8.05900001525879,0
100_150_5_1,-1035.89960812827,-1035.89960812827,0.318000078201294,0
101_150_5_2,-8003.98133834618,-8003.98133834618,0.239000082015991,5.32433875924133e-05
102_150_5_5,-17301.5184934136,-17301.5184934136,4.43499994277954,0
103_150_15_1,-3018.01714183022,-3018.01714183022,0.118000030517578,0
104_150_15_7,-15120.8222966571,-15120.8222966571,0.786999940872192,9.12313644339615e-05
105_150_15_15,-14924.6029958147,-14924.6029958147,0.767000198364258,0
106_150_30_1,-3606.65649248534,-3606.65649248534,0.175000190734863,0
107_150_30_15,-10776.5660577417,-10776.5660577417,2.14299988746643,0
108_150_30_30,-23724.1646229873,-23724.1646229873,70.2679998874664,7.13450676970431e-05
109_200_5_1,-1010.39587699556,-1010.39587699556,0.0250000953674316,0
110_200_5_2,-26358.5249161254,-26358.5249161254,5.07699990272522,0
111_200_5_5,-7272.91266724224,-7272.91266724224,1.34300017356873,4.67296950837634e-05
112_200_15_1,-3226.6540074241,-3226.6540074241,0.223999977111816,0
113_200_15_7,-18385.7778390889,-18385.7778390889,1.47800016403198,9.92686193852496e-05
114_200_15_15,-15232.0025892401,-15232.00258924,13.4639999866486,0
115_200_30_1,-29132.2917351355,-29132.2917351355,1.2979998588562,0
116_200_30_15,-23259.0872920697,-23259.0872920697,2.51900005340576,9.74959030564823e-05
117_200_30_30,-35074.8336585757,-35074.8336585757,4.93099999427795,0
118_250_5_1,-8316.31272106839,-8316.31272106839,0.700999975204468,0
119_250_5_2,-4918.87791173399,-4918.87791173399,1.58500003814697,0
120_250_5_5,-17587.6405233905,-17587.6405233905,8.75800013542175,0
121_250_15_1,-21100.0525181264,-21100.0525181264,1.41699981689453,8.97563841632811e-05
122_250_15_7,-22202.5693784048,-22202.5693784048,2.4909999370575,0
123_250_15_15,-16944.8305257993,-16944.8305257993,2.7960000038147,0
124_250_30_1,-3667.54525911557,-3667.54525911557,0.123000144958496,0
125_250_30_15,-37990.3264429414,-37990.3264429414,17.9629998207092,8.00762924597575e-05
126_250_30_30,-32141.2646667694,-32141.2646667694,243.134000062943,8.50672883119631e-05
127_500_5_1,-6458.29313356035,-6458.29313356035,0.169999837875366,0
128_500_5_2,-22065.028398271,-22065.028398271,0.159999847412109,0
129_500_5_5,-54295.0988294094,-54295.0988294094,1.70300006866455,9.97868818236779e-05
130_500_15_1,-13651.1331319582,-13651.1331319582,0.687000036239624,4.89735089209217e-05
131_500_15_7,-21420.307291377,-21420.307291377,1.70299983024597,9.66200204197746e-05
132_500_15_15,-40824.9924229306,-40824.9924229307,11.4240000247955,0
133_500_30_1,-18442.9169934181,-18442.9169934181,0.565999984741211,0
134_500_30_15,-45614.2247968954,-45614.2247968954,14.2290000915527,4.91422691343036e-05
135_500_30_30,-52939.0455118312,-52939.6205585854,0.828999996185303,5.06970769028545e-05
136_100_5_1,-3572.68896182836,-3572.68896182836,0.141999959945679,0
137_100_5_2,-3574.09164003683,-3574.09164003683,0.630000114440918,0
138_100_5_5,-6143.22944934438,-6143.22944934438,1.30100011825562,0
139_100_15_1,-6640.04988946625,-6640.04988946625,0.154999971389771,0
140_100_15_7,-4816.09727518095,-4816.09727518095,0.13700008392334,0
141_100_15_15,-10998.2300264771,-10998.2300264771,11.9009997844696,0
142_100_30_1,-2124.35311830683,-2124.35311830683,0.427000045776367,0
143_100_30_15,-8049.48587126372,-8049.48587126372,0.569999933242798,0
144_100_30_30,-13304.035422431,-13304.035422431,38.960000038147,0
145_150_5_1,-9926.5416534468,-9926.5416534468,0.901999950408936,8.72850622649862e-05
146_150_5_2,-12505.7517298323,-12505.7517298323,1.04500007629395,0
147_150_5_5,-22100.2432541433,-22100.2432541433,2.83200001716614,0
